query,target,uniprot_id,bits,evalue,fident,database
Q8DW02,AF-B5R9D9-F1-model_v4,B5R9D9,763,3.264e-18,0.065,results_afdb_swissprot
Q8DSI9,AF-C5D4V7-F1-model_v4,C5D4V7,755,5.146e-18,0.069,results_afdb_swissprot
Q8DUY7,AF-P75809-F1-model_v4,P75809,754,4.384e-18,0.044,results_afdb_swissprot
Q8DSY3,AF-Q8CSN0-F1-model_v4,Q8CSN0,752,1.105e-16,0.065,results_afdb_swissprot
Q8DU45,AF-P75792-F1-model_v4,P75792,751,2.568e-18,0.066,results_afdb_swissprot
Q8DVI0,AF-P54947-F1-model_v4,P54947,750,6.356e-18,0.07,results_afdb_swissprot
Q8DUS0,AF-P72302-F1-model_v4,P72302,746,1.743e-14,0.083,results_afdb_swissprot
Q8DV34,AF-P0DM85-F1-model_v4,P0DM85,740,5.61e-13,0.06,results_afdb_swissprot
Q8DT79,AF-P42318-F1-model_v4,P42318,739,7.545e-16,0.06,results_afdb_swissprot
Q8DVP5,AF-P0A8Y5-F1-model_v4,P0A8Y5,737,5.476e-18,0.138,results_afdb_swissprot
Q8DUQ3,AF-P40586-F1-model_v4,P40586,729,5.566e-17,0.065,results_afdb_swissprot
Q8DUU7,AF-B1VN94-F1-model_v4,B1VN94,720,1.008e-16,0.116,results_afdb_swissprot
Q8DV84,AF-P37543-F1-model_v4,P37543,718,7.296e-17,0.057,results_afdb_swissprot
Q8DUY6,AF-P0A8Y6-F1-model_v4,P0A8Y6,712,4.033e-17,0.085,results_afdb_swissprot
I6L904,AF-D4GYG3-F1-model_v4,D4GYG3,710,7.136e-16,0.089,results_afdb_swissprot
Q8DRW0,AF-P39803-F1-model_v4,P39803,705,1.27e-13,0.079,results_afdb_swissprot
Q8DSF8,AF-O07539-F1-model_v4,O07539,700,5.065e-15,0.069,results_afdb_swissprot
Q8DS56,AF-P37876-F1-model_v4,P37876,699,9.795e-15,0.092,results_afdb_swissprot
Q8DRW1,AF-P42978-F1-model_v4,P42978,690,2.111e-12,0.076,results_afdb_swissprot
Q8DTK1,AF-D4AU31-F1-model_v4,D4AU31,686,1.54e-14,0.081,results_afdb_swissprot
Q8DVZ0,AF-P50474-F1-model_v4,P50474,670,1.543e-15,0.067,results_afdb_swissprot
Q8DSS2,AF-P0ADW7-F1-model_v4,P0ADW7,665,2.057e-15,0.073,results_afdb_swissprot
Q8DVR4,AF-P70947-F1-model_v4,P70947,664,4.727e-16,0.065,results_afdb_swissprot
Q8DTU5,AF-P40194-F1-model_v4,P40194,663,4.789e-16,0.072,results_afdb_swissprot
Q8DWJ6,AF-Q886V7-F1-model_v4,Q886V7,657,1.55e-14,0.106,results_afdb_swissprot
Q8DTB0,AF-Q9ZDG2-F1-model_v4,Q9ZDG2,634,2.065e-14,0.075,results_afdb_swissprot
Q8DS10,AF-P42377-F1-model_v4,P42377,633,1.157e-11,0.078,results_afdb_swissprot
Q8DVA5,AF-Q5W259-F1-model_v4,Q5W259,630,5.171e-12,0.065,results_afdb_swissprot
Q8DTS3,AF-Q9I767-F1-model_v4,Q9I767,620,1.597e-14,0.084,results_afdb_swissprot
Q8DTY8,AF-A0NLY7-F1-model_v4,A0NLY7,618,4.08e-15,0.06,results_afdb_swissprot
Q8DW41,AF-Q6ZIV7-F1-model_v4,Q6ZIV7,615,1.139e-13,0.061,results_afdb_swissprot
Q8DVJ1,AF-P32437-F1-model_v4,P32437,613,3.998e-13,0.043,results_afdb_swissprot
Q8DS06,AF-E6ENP9-F1-model_v4,E6ENP9,609,4.616e-14,0.068,results_afdb_swissprot
Q8DVI6,AF-O32247-F1-model_v4,O32247,602,2.194e-12,0.068,results_afdb_swissprot
Q8DU32,AF-P37872-F1-model_v4,P37872,593,1.572e-14,0.064,results_afdb_swissprot
Q8DTE2,AF-F9UNH3-F1-model_v4,F9UNH3,592,2.375e-14,0.076,results_afdb_swissprot
Q8DU59,AF-F9UNH3-F1-model_v4,F9UNH3,586,2.158e-13,0.087,results_afdb_swissprot
Q8DUR0,AF-P96738-F1-model_v4,P96738,583,4.862e-13,0.063,results_afdb_swissprot
Q8DU60,AF-F9UNH3-F1-model_v4,F9UNH3,574,1.474e-13,0.108,results_afdb_swissprot
Q8DSX3,AF-P54570-F1-model_v4,P54570,573,1.295e-12,0.066,results_afdb_swissprot
Q8DTL2,AF-Q57544-F1-model_v4,Q57544,570,2.271e-13,0.065,results_afdb_swissprot
Q8DT98,AF-P54471-F1-model_v4,P54471,570,9.952e-13,0.076,results_afdb_swissprot
Q8DU18,AF-O33832-F1-model_v4,O33832,568,6.511e-13,0.096,results_afdb_swissprot
Q8DVY0,AF-Q5XDZ5-F1-model_v4,Q5XDZ5,554,2.056e-10,0.059,results_afdb_swissprot
Q8DUG6,AF-P94361-F1-model_v4,P94361,552,3.014e-13,0.051,results_afdb_swissprot
Q8DU66,AF-Q9UYB2-F1-model_v4,Q9UYB2,552,1.396e-12,0.09,results_afdb_swissprot
Q8DWG7,AF-P0DKS1-F1-model_v4,P0DKS1,550,1.939e-12,0.089,results_afdb_swissprot
Q8DU95,AF-O31609-F1-model_v4,O31609,547,2.198e-11,0.089,results_afdb_swissprot
Q8DW89,AF-F9UNH3-F1-model_v4,F9UNH3,542,6.716e-13,0.102,results_afdb_swissprot
Q8DVZ6,AF-O67619-F1-model_v4,O67619,541,5.37e-11,0.074,results_afdb_swissprot
Q8DTA5,AF-Q27HV0-F1-model_v4,Q27HV0,520,6.143e-08,0.093,results_afdb_swissprot
Q8DTH5,AF-Q6GGU0-F1-model_v4,Q6GGU0,520,3.665e-12,0.074,results_afdb_swissprot
Q8DUJ6,AF-A1SMY9-F1-model_v4,A1SMY9,514,2.271e-10,0.075,results_afdb_swissprot
Q8DV76,AF-P0A9Z7-F1-model_v4,P0A9Z7,511,1.312e-10,0.065,results_afdb_swissprot
Q8DST1,AF-A2AKK5-F1-model_v4,A2AKK5,509,2.388e-11,0.07,results_afdb_swissprot
Q8DV71,AF-Q9P6J2-F1-model_v4,Q9P6J2,508,3.522e-08,0.086,results_afdb_swissprot
Q8DSS3,AF-O34614-F1-model_v4,O34614,507,2.155e-12,0.106,results_afdb_swissprot
Q8DTY9,AF-P75809-F1-model_v4,P75809,498,2.272e-11,0.105,results_afdb_swissprot
Q8DU68,AF-Q080H9-F1-model_v4,Q080H9,495,1.093e-09,0.094,results_afdb_swissprot
Q8DWH6,AF-Q1MMY4-F1-model_v4,Q1MMY4,489,1.575e-11,0.086,results_afdb_swissprot
Q8DSM0,AF-D4GQN6-F1-model_v4,D4GQN6,488,1.011e-10,0.064,results_afdb_swissprot
Q8DTT5,AF-O86222-F1-model_v4,O86222,479,2.537e-11,0.063,results_afdb_swissprot
Q8DUW7,AF-Q5M969-F1-model_v4,Q5M969,478,7.828e-10,0.087,results_afdb_swissprot
Q8DUT3,AF-O34628-F1-model_v4,O34628,474,1.133e-08,0.07,results_afdb_swissprot
Q8DVS0,AF-P54721-F1-model_v4,P54721,468,1.451e-10,0.069,results_afdb_swissprot
Q8DVV8,AF-Q9PG89-F1-model_v4,Q9PG89,462,9.936e-11,0.061,results_afdb_swissprot
Q8DSZ1,AF-P44074-F1-model_v4,P44074,460,2.256e-10,0.059,results_afdb_swissprot
Q8DVU2,AF-P54458-F1-model_v4,P54458,459,3.058e-10,0.082,results_afdb_swissprot
Q8DUK1,AF-O31611-F1-model_v4,O31611,453,4.578e-10,0.102,results_afdb_swissprot
Q8DVA8,AF-P40766-F1-model_v4,P40766,453,1.163e-09,0.053,results_afdb_swissprot
Q8DVV9,AF-O34664-F1-model_v4,O34664,453,2.996e-10,0.083,results_afdb_swissprot
Q8DVR8,AF-Q6GAF9-F1-model_v4,Q6GAF9,449,6.62e-10,0.062,results_afdb_swissprot
Q8DT15,AF-P76270-F1-model_v4,P76270,445,4.691e-10,0.058,results_afdb_swissprot
Q8DS84,AF-O13718-F1-model_v4,O13718,445,4.294e-09,0.089,results_afdb_swissprot
Q8DTF4,AF-P54549-F1-model_v4,P54549,441,1.084e-09,0.122,results_afdb_swissprot
Q8DTL9,AF-P55192-F1-model_v4,P55192,436,3.465e-09,0.09,results_afdb_swissprot
Q8DSR5,AF-O34628-F1-model_v4,O34628,430,6.588e-08,0.07,results_afdb_swissprot
Q8DSL7,AF-Q746C2-F1-model_v4,Q746C2,429,5.804e-09,0.061,results_afdb_swissprot
Q8DWD8,AF-B7J950-F1-model_v4,B7J950,423,4.37e-09,0.075,results_afdb_swissprot
Q8DT82,AF-P15006-F1-model_v4,P15006,421,1.281e-08,0.061,results_afdb_swissprot
Q8DW21,AF-P9WP79-F1-model_v4,P9WP79,417,6.693e-09,0.115,results_afdb_swissprot
Q8DT80,AF-Q02150-F1-model_v4,Q02150,417,5.519e-09,0.055,results_afdb_swissprot
Q8DU69,AF-Q8DPY9-F1-model_v4,Q8DPY9,415,3.07e-07,0.082,results_afdb_swissprot
Q8DSL5,AF-O34920-F1-model_v4,O34920,414,5.546e-08,0.049,results_afdb_swissprot
Q8DST0,AF-Q9PLJ0-F1-model_v4,Q9PLJ0,414,3.99e-08,0.111,results_afdb_swissprot
Q8DTQ1,AF-Q87L12-F1-model_v4,Q87L12,405,9.165e-09,0.11,results_afdb_swissprot
Q8DUU8,AF-Q45061-F1-model_v4,Q45061,404,3.807e-08,0.037,results_afdb_swissprot
Q8DUV0,AF-O28020-F1-model_v4,O28020,402,8.535e-08,0.041,results_afdb_swissprot
Q8DRY1,AF-P0CW70-F1-model_v4,P0CW70,400,5.868e-06,0.086,results_afdb_swissprot
Q8DTL5,AF-Q0T2X0-F1-model_v4,Q0T2X0,399,2.302e-08,0.095,results_afdb_swissprot
Q8DSI7,AF-P54456-F1-model_v4,P54456,397,2.238e-06,0.064,results_afdb_swissprot
Q8DSI3,AF-P54452-F1-model_v4,P54452,395,3.868e-09,0.063,results_afdb_swissprot
Q8DVZ4,AF-Q45065-F1-model_v4,Q45065,390,8.496e-09,0.102,results_afdb_swissprot
Q8DVQ5,AF-P0C0K4-F1-model_v4,P0C0K4,389,1.014e-07,0.074,results_afdb_swissprot
Q8DTT1,AF-Q8DPQ3-F1-model_v4,Q8DPQ3,389,8.521e-09,0.08,results_afdb_swissprot
Q8DV93,AF-A2AQW0-F1-model_v4,A2AQW0,389,5.974e-06,0.082,results_afdb_swissprot
Q8DU47,AF-Q6MWZ7-F1-model_v4,Q6MWZ7,389,5.994e-09,0.093,results_afdb_swissprot
Q8DWK9,AF-Q9UMX1-F1-model_v4,Q9UMX1,383,2.857e-08,0.098,results_afdb_swissprot
Q8DW27,AF-Q58809-F1-model_v4,Q58809,382,6.597e-08,0.078,results_afdb_swissprot
Q8DVA7,AF-P54179-F1-model_v4,P54179,372,6.469e-07,0.064,results_afdb_swissprot
Q8DU43,AF-P31847-F1-model_v4,P31847,371,5.262e-06,0.086,results_afdb_swissprot
Q8DU02,AF-Q5E977-F1-model_v4,Q5E977,369,4.117e-05,0.084,results_afdb_swissprot
Q8DT22,AF-O51040-F1-model_v4,O51040,368,3.612e-07,0.088,results_afdb_swissprot
Q8DU42,AF-P52096-F1-model_v4,P52096,365,5.823e-08,0.081,results_afdb_swissprot
Q8DTB8,AF-Q99VM8-F1-model_v4,Q99VM8,355,2.699e-07,0.117,results_afdb_swissprot
Q8DTB5,AF-P33354-F1-model_v4,P33354,354,6.822e-07,0.083,results_afdb_swissprot
Q8DTV3,AF-Q9PLJ0-F1-model_v4,Q9PLJ0,354,6.572e-07,0.07,results_afdb_swissprot
Q8DTS0,AF-Q97QZ1-F1-model_v4,Q97QZ1,349,3.753e-07,0.084,results_afdb_swissprot
Q8DRX3,AF-P60375-F1-model_v4,P60375,347,4.469e-08,0.038,results_afdb_swissprot
Q8DSQ8,AF-O31698-F1-model_v4,O31698,345,3.019e-08,0.034,results_afdb_swissprot
Q8DU46,AF-Q15102-F1-model_v4,Q15102,344,3.769e-07,0.1,results_afdb_swissprot
Q8DTG7,AF-P9WGC9-F1-model_v4,P9WGC9,342,5.742e-07,0.075,results_afdb_swissprot
Q8DVR1,AF-P67172-F1-model_v4,P67172,338,2.366e-07,0.046,results_afdb_swissprot
Q8DV58,AF-P94352-F1-model_v4,P94352,337,1.344e-05,0.055,results_afdb_swissprot
Q8DTN3,AF-Q88ND5-F1-model_v4,Q88ND5,336,1.879e-05,0.1,results_afdb_swissprot
Q8DTG8,AF-Q45133-F1-model_v4,Q45133,334,6.71e-07,0.069,results_afdb_swissprot
Q8DUU4,AF-Q1EMV2-F1-model_v4,Q1EMV2,334,1.789e-06,0.024,results_afdb_swissprot
Q8DWI3,AF-O35016-F1-model_v4,O35016,325,1.248e-07,0.066,results_afdb_swissprot
Q8DV03,AF-O07624-F1-model_v4,O07624,323,1.16e-05,0.022,results_afdb_swissprot
Q8DU77,AF-Q4L8V4-F1-model_v4,Q4L8V4,322,7.077e-06,0.037,results_afdb_swissprot
Q8DUR8,AF-Q4I0K3-F1-model_v4,Q4I0K3,322,0.0002451,0.107,results_afdb_swissprot
Q8DVG2,AF-Q57HD8-F1-model_v4,Q57HD8,321,3.363e-07,0.12,results_afdb_swissprot
Q8DRQ8,AF-O31185-F1-model_v4,O31185,320,0.0001598,0.09,results_afdb_swissprot
Q8DT94,AF-E3G128-F1-model_v4,E3G128,320,1.433e-06,0.087,results_afdb_swissprot
Q8DT97,AF-P39787-F1-model_v4,P39787,318,4.247e-06,0.063,results_afdb_swissprot
Q8DVN6,AF-A0A024B404-F1-model_v4,A0A024B404,312,1.03e-05,0.076,results_afdb_swissprot
Q8DRR7,AF-O31771-F1-model_v4,O31771,310,2.903e-06,0.077,results_afdb_swissprot
Q8DTS4,AF-Q8ZJW4-F1-model_v4,Q8ZJW4,305,4.569e-06,0.09,results_afdb_swissprot
Q8DW94,AF-P05057-F1-model_v4,P05057,304,8.702e-05,0.073,results_afdb_swissprot
I6L909,AF-Q6DF67-F1-model_v4,Q6DF67,304,1.432e-06,0.115,results_afdb_swissprot
Q8DSE8,AF-P54519-F1-model_v4,P54519,302,1.276e-06,0.087,results_afdb_swissprot
Q8DU01,AF-P75584-F1-model_v4,P75584,301,1.955e-06,0.119,results_afdb_swissprot
Q8DWN3,AF-Q92F59-F1-model_v4,Q92F59,296,1.718e-06,0.097,results_afdb_swissprot
Q8DWI2,AF-Q641X6-F1-model_v4,Q641X6,294,5.675e-05,0.032,results_afdb_swissprot
Q8DVZ1,AF-P0AB02-F1-model_v4,P0AB02,288,0.0001982,0.112,results_afdb_swissprot
Q8DUZ2,AF-I6Y8F7-F1-model_v4,I6Y8F7,288,8.442e-06,0.072,results_afdb_swissprot
Q8DSZ7,AF-P94443-F1-model_v4,P94443,287,2.022e-05,0.081,results_afdb_swissprot
I6L8Z9,AF-O34445-F1-model_v4,O34445,286,2.962e-05,0.047,results_afdb_swissprot
Q8DS60,AF-Q9CE03-F1-model_v4,Q9CE03,285,0.0004394,0.107,results_afdb_swissprot
Q8DW66,AF-P96633-F1-model_v4,P96633,282,0.0001023,0.066,results_afdb_swissprot
Q8DVE7,AF-P54433-F1-model_v4,P54433,281,3.2e-06,0.13,results_afdb_swissprot
Q8DT20,AF-B8JAF5-F1-model_v4,B8JAF5,274,4.471e-05,0.071,results_afdb_swissprot
I6L913,AF-P70949-F1-model_v4,P70949,272,1.019e-05,0.061,results_afdb_swissprot
Q8DRT6,AF-P70949-F1-model_v4,P70949,271,4.565e-06,0.103,results_afdb_swissprot
Q8DSS8,AF-Q6GEA2-F1-model_v4,Q6GEA2,270,6.997e-06,0.084,results_afdb_swissprot
Q8DTP1,AF-Q6YI46-F1-model_v4,Q6YI46,267,0.001038,0.086,results_afdb_swissprot
Q8DUM1,AF-B6J4L4-F1-model_v4,B6J4L4,267,1.947e-05,0.137,results_afdb_swissprot
Q8DVH9,AF-P37507-F1-model_v4,P37507,267,0.0001312,0.048,results_afdb_swissprot
Q8DU76,AF-Q8R431-F1-model_v4,Q8R431,261,6.772e-05,0.091,results_afdb_swissprot
Q8DT11,AF-Q3SSU5-F1-model_v4,Q3SSU5,261,7.59e-05,0.09,results_afdb_swissprot
Q8DSB9,AF-Q8R570-F1-model_v4,Q8R570,258,0.0001848,0.068,results_afdb_swissprot
Q8DW34,AF-Q58972-F1-model_v4,Q58972,256,0.001881,0.056,results_afdb_swissprot
Q8DS91,AF-B3WDP7-F1-model_v4,B3WDP7,252,0.0002347,0.062,results_afdb_swissprot
Q8DT83,AF-Q9HUU7-F1-model_v4,Q9HUU7,250,8.167e-05,0.074,results_afdb_swissprot
Q8DVT3,AF-P69782-F1-model_v4,P69782,249,7.635e-05,0.117,results_afdb_swissprot
Q8DUE8,AF-Q2YVT4-F1-model_v4,Q2YVT4,248,0.0002394,0.11,results_afdb_swissprot
Q8DTS8,AF-O34725-F1-model_v4,O34725,248,0.000399,0.07,results_afdb_swissprot
Q8DSI5,AF-P54454-F1-model_v4,P54454,247,2.03e-05,0.083,results_afdb_swissprot
Q8DTL7,AF-P0AGH1-F1-model_v4,P0AGH1,245,0.004886,0.096,results_afdb_swissprot
Q8DV46,AF-O05525-F1-model_v4,O05525,241,0.003256,0.08,results_afdb_swissprot
Q8DW90,AF-P29978-F1-model_v4,P29978,239,0.0002175,0.056,results_afdb_swissprot
Q8DVG0,AF-Q8ZEH4-F1-model_v4,Q8ZEH4,234,0.007707,0.117,results_afdb_swissprot
Q8DV11,AF-O88968-F1-model_v4,O88968,229,0.0003566,0.058,results_afdb_swissprot
Q8DVN1,AF-Q5XAJ8-F1-model_v4,Q5XAJ8,229,0.0005179,0.081,results_afdb_swissprot
Q8DTF7,AF-P47690-F1-model_v4,P47690,229,0.009527,0.092,results_afdb_swissprot
Q8DSA4,AF-P68569-F1-model_v4,P68569,229,0.0001746,0.057,results_afdb_swissprot
Q8DSW2,AF-O32241-F1-model_v4,O32241,229,0.004759,0.051,results_afdb_swissprot
Q8DU08,AF-P38097-F1-model_v4,P38097,227,0.00648,0.087,results_afdb_swissprot
Q8DUY9,AF-Q9XD84-F1-model_v4,Q9XD84,227,0.006416,0.061,results_afdb_swissprot
Q8DVI7,AF-F4IJK1-F1-model_v4,F4IJK1,226,0.0107,0.099,results_afdb_swissprot
Q8DVG9,AF-O32127-F1-model_v4,O32127,226,0.0004104,0.05,results_afdb_swissprot
Q8CMD5,AF-P60046-F1-model_v4,P60046,225,0.001362,0.141,results_afdb_swissprot
Q8DVT6,AF-P49330-F1-model_v4,P49330,223,0.02229,0.081,results_afdb_swissprot
Q8DTW4,AF-P9WHG9-F1-model_v4,P9WHG9,221,0.000624,0.103,results_afdb_swissprot
Q8DTX0,AF-P76221-F1-model_v4,P76221,218,0.01032,0.093,results_afdb_swissprot
Q8DWI5,AF-A3DHD2-F1-model_v4,A3DHD2,215,0.009925,0.064,results_afdb_swissprot
I6L8Y5,AF-O32138-F1-model_v4,O32138,214,0.001272,0.072,results_afdb_swissprot
Q8DRU3,AF-P95609-F1-model_v4,P95609,213,0.0004395,0.087,results_afdb_swissprot
Q8DU58,AF-Q9CYL5-F1-model_v4,Q9CYL5,208,0.001201,0.097,results_afdb_swissprot
Q8DVQ1,AF-P32728-F1-model_v4,P32728,205,0.001073,0.055,results_afdb_swissprot
Q8DUS7,AF-A6LFT2-F1-model_v4,A6LFT2,202,0.01952,0.037,results_afdb_swissprot
Q8DSE0,AF-P9WKM1-F1-model_v4,P9WKM1,202,0.006666,0.027,results_afdb_swissprot
Q8DW48,AF-O60725-F1-model_v4,O60725,201,0.01744,0.12,results_afdb_swissprot
Q8DSQ1,AF-Q49X74-F1-model_v4,Q49X74,200,0.02347,0.079,results_afdb_swissprot
Q8DU40,AF-Q5PPF5-F1-model_v4,Q5PPF5,199,0.008006,0.115,results_afdb_swissprot
Q8DTV4,AF-P37507-F1-model_v4,P37507,198,0.003545,0.116,results_afdb_swissprot
Q8DRR4,AF-Q3ZX03-F1-model_v4,Q3ZX03,196,0.0009656,0.098,results_afdb_swissprot
Q8DRT0,AF-P37466-F1-model_v4,P37466,193,0.002893,0.039,results_afdb_swissprot
Q8DUA1,AF-O31428-F1-model_v4,O31428,187,0.1092,0.11,results_afdb_swissprot
Q8DV40,AF-Q08CG9-F1-model_v4,Q08CG9,184,0.03567,0.158,results_afdb_swissprot
Q8DTZ9,AF-Q8SRM1-F1-model_v4,Q8SRM1,183,0.01822,0.078,results_afdb_swissprot
Q8DUE3,AF-Q9ZCJ8-F1-model_v4,Q9ZCJ8,182,0.01343,0.081,results_afdb_swissprot
Q8DTD7,AF-O67827-F1-model_v4,O67827,181,0.04816,0.08,results_afdb_swissprot
Q8DWB1,AF-P0AFZ1-F1-model_v4,P0AFZ1,181,0.01086,0.084,results_afdb_swissprot
Q8DV31,AF-O34596-F1-model_v4,O34596,177,0.006426,0.093,results_afdb_swissprot
Q8DTS6,AF-O32092-F1-model_v4,O32092,176,0.003843,0.128,results_afdb_swissprot
Q8DSY9,AF-Q81PU5-F1-model_v4,Q81PU5,175,0.03858,0.077,results_afdb_swissprot
Q8DUX3,AF-Q971W5-F1-model_v4,Q971W5,174,0.005815,0.115,results_afdb_swissprot
Q8DSR7,AF-I6X7F9-F1-model_v4,I6X7F9,174,0.004524,0.039,results_afdb_swissprot
Q8DTW2,AF-Q27182-F1-model_v4,Q27182,173,0.08477,0.123,results_afdb_swissprot
Q8DUL3,AF-P0AET6-F1-model_v4,P0AET6,171,0.06654,0.029,results_afdb_swissprot
I6L8Z7,AF-Q4I0K3-F1-model_v4,Q4I0K3,168,0.2061,0.094,results_afdb_swissprot
Q8DTX1,AF-O34960-F1-model_v4,O34960,167,0.04591,0.102,results_afdb_swissprot
Q8DWJ9,AF-P28629-F1-model_v4,P28629,165,0.009798,0.116,results_afdb_swissprot
Q8DUX2,AF-O83371-F1-model_v4,O83371,164,0.01021,0.015,results_afdb_swissprot
Q8DTX2,AF-O14678-F1-model_v4,O14678,161,0.2503,0.132,results_afdb_swissprot
Q8DSK9,AF-O27947-F1-model_v4,O27947,156,0.01339,0.037,results_afdb_swissprot
Q8DSW4,AF-B1VS45-F1-model_v4,B1VS45,156,0.06922,0.043,results_afdb_swissprot
Q8DVI5,AF-P52302-F1-model_v4,P52302,155,0.1266,0.087,results_afdb_swissprot
Q8DRS2,AF-Q2G278-F1-model_v4,Q2G278,154,0.0188,0.104,results_afdb_swissprot
Q8DVS4,AF-B9IZT9-F1-model_v4,B9IZT9,153,0.01461,0.126,results_afdb_swissprot
Q8DWN7,AF-C0H3V8-F1-model_v4,C0H3V8,146,0.08851,0.048,results_afdb_swissprot
Q8DW55,AF-Q06399-F1-model_v4,Q06399,146,0.1484,0.113,results_afdb_swissprot
Q8DTW1,AF-O88512-F1-model_v4,O88512,145,0.06684,0.113,results_afdb_swissprot
Q8DTU3,AF-Q55EQ3-F1-model_v4,Q55EQ3,145,0.03498,0.115,results_afdb_swissprot
Q8DUE6,AF-A1JKS1-F1-model_v4,A1JKS1,145,0.09365,0.105,results_afdb_swissprot
Q8DW65,AF-A4XZ95-F1-model_v4,A4XZ95,142,0.1918,0.179,results_afdb_swissprot
Q8DVH8,AF-P16396-F1-model_v4,P16396,138,0.1182,0.027,results_afdb_swissprot
Q8DSC9,AF-Q65GD9-F1-model_v4,Q65GD9,137,0.04337,0.087,results_afdb_swissprot
Q8DVX6,AF-Q888Y8-F1-model_v4,Q888Y8,134,0.1813,0.113,results_afdb_swissprot
Q8DU78,AF-P47046-F1-model_v4,P47046,133,0.2606,0.121,results_afdb_swissprot
Q8DV27,AF-Q60629-F1-model_v4,Q60629,130,0.2482,0.125,results_afdb_swissprot
Q8DTZ8,AF-Q320K3-F1-model_v4,Q320K3,127,0.713,0.118,results_afdb_swissprot
Q8DVC8,AF-O34588-F1-model_v4,O34588,125,0.1415,0.075,results_afdb_swissprot
Q8DV24,AF-Q8GFE2-F1-model_v4,Q8GFE2,125,0.0722,0.114,results_afdb_swissprot
Q8DSL9,AF-A1U2V3-F1-model_v4,A1U2V3,124,0.539,0.072,results_afdb_swissprot
