Query UniProt ID,AlphaFold Target Model,E-value,Bitscore,Source Database
Q8DS10,AF-A0A6G8HXI7-F1-model_v4,3.43e-15,826,results_afdb50.m8
Q8DVI0,AF-A0A1Z5I9L8-F1-model_v4,2.806e-19,824,results_afdb50.m8
Q8DW02,AF-Q8DNA1-F1-model_v4,1.046e-19,821,results_afdb_proteome.m8
Q8DUY7,AF-A0A033V6X7-F1-model_v4,3.111e-19,820,results_afdb50.m8
I6L904,AF-A0A3R6DIK7-F1-model_v4,5.658e-18,818,results_afdb50.m8
Q8DVA5,AF-A0A2H0FQ32-F1-model_v4,1.553e-15,817,results_afdb50.m8
Q8DT82,AF-A0A3L9DM83-F1-model_v4,2.762e-17,793,results_afdb50.m8
Q8DVZ0,AF-A0A841CA30-F1-model_v4,4.141e-18,792,results_afdb50.m8
Q8DUY6,AF-A0A3A8WI91-F1-model_v4,2.773e-18,778,results_afdb50.m8
Q8DS56,AF-A0A1Q8E650-F1-model_v4,6.773e-16,773,results_afdb50.m8
Q8DUQ3,AF-A0A6L6JXT7-F1-model_v4,1.605e-17,773,results_afdb50.m8
Q8DTY8,AF-A0A1Q7HWT9-F1-model_v4,9.487e-19,772,results_afdb50.m8
Q8DS06,AF-R2QSA0-F1-model_v4,1.059e-17,771,results_afdb50.m8
Q8DVR4,AF-A0A139NN43-F1-model_v4,2.923e-18,768,results_afdb50.m8
Q8DTK1,AF-A0A559QLN8-F1-model_v4,7.865e-16,765,results_afdb50.m8
Q8DS84,AF-G5JV09-F1-model_v4,2.369e-16,764,results_afdb50.m8
Q8DRY1,AF-A0A2L0D231-F1-model_v4,2.014e-12,761,results_afdb50.m8
Q8DSZ1,AF-U1PFC9-F1-model_v4,9.335e-18,760,results_afdb50.m8
Q8DSS2,AF-A0A838QTG5-F1-model_v4,3.313e-17,757,results_afdb50.m8
Q8DRW1,AF-A0A7T9LRK5-F1-model_v4,7.023e-13,742,results_afdb50.m8
Q8DUT3,AF-A0A7U9RD53-F1-model_v4,7.028e-14,735,results_afdb50.m8
Q8DSM0,AF-Q8DSM0-F1-model_v4,1.811e-16,734,results_afdb50.m8
Q8DST1,AF-A0A2W0HCY6-F1-model_v4,2.795e-16,722,results_afdb50.m8
Q8DU68,AF-A0A7X2XFF0-F1-model_v4,2.299e-14,721,results_afdb50.m8
Q8DSL9,AF-Q8DSL9-F1-model_v4,4.491e-14,717,results_afdb50.m8
Q8DVJ1,AF-Q8DMY9-F1-model_v4,1.543e-15,713,results_afdb_proteome.m8
Q8DTY9,AF-T0VAC6-F1-model_v4,2.09e-16,710,results_afdb50.m8
Q8DU76,AF-A0A2V3ZDV1-F1-model_v4,7.112e-16,708,results_afdb50.m8
Q8DW41,AF-A0A328YQR4-F1-model_v4,2.266e-15,706,results_afdb50.m8
Q8DUG6,AF-A0A1V0GB76-F1-model_v4,1.129e-16,699,results_afdb50.m8
Q8DTU5,AF-A0A5T5BU36-F1-model_v4,2.588e-16,695,results_afdb50.m8
Q8DU32,AF-A0A2A5RY33-F1-model_v4,1.215e-16,691,results_afdb50.m8
Q8DW27,AF-A0A7T7F4R9-F1-model_v4,3.46e-15,690,results_afdb50.m8
Q8DTS3,AF-A0A3E2XT75-F1-model_v4,1.138e-15,686,results_afdb50.m8
Q8DT22,AF-W5II77-F1-model_v4,2.644e-14,683,results_afdb50.m8
Q8DT94,AF-A0A1F9ZQG1-F1-model_v4,1.739e-15,681,results_afdb50.m8
Q8DW94,AF-A0A1D7XHE9-F1-model_v4,2.138e-12,679,results_afdb50.m8
Q8DVY0,AF-A0A1Y1YH66-F1-model_v4,1.451e-12,678,results_afdb50.m8
Q8DVZ6,AF-A0A7Y3ATM7-F1-model_v4,1.241e-13,677,results_afdb50.m8
Q8DUJ6,AF-A0A2J8B559-F1-model_v4,1.836e-13,669,results_afdb50.m8
Q8DT98,AF-F6B8D1-F1-model_v4,2.074e-14,659,results_afdb50.m8
Q8DV76,AF-A0A3L9DVQ5-F1-model_v4,1.34e-13,658,results_afdb50.m8
Q8DVU2,AF-J3F8H1-F1-model_v4,9.261e-15,653,results_afdb50.m8
Q8DTA5,AF-Q8DP47-F1-model_v4,2.146e-10,652,results_afdb_proteome.m8
Q8DU40,AF-A0A7T7F741-F1-model_v4,7.114e-13,651,results_afdb50.m8
Q8DWG7,AF-A0A518EL85-F1-model_v4,2.599e-14,645,results_afdb50.m8
Q8DU95,AF-A0A352NEU8-F1-model_v4,4.111e-13,643,results_afdb50.m8
Q8DSX3,AF-A0A1I2A3Y9-F1-model_v4,1.038e-13,640,results_afdb50.m8
Q8DTL2,AF-A0A2N1V244-F1-model_v4,2.105e-14,631,results_afdb50.m8
Q8DVS0,AF-F3YBV2-F1-model_v4,2.862e-14,630,results_afdb50.m8
Q8DSL5,AF-A0A3R8LVD6-F1-model_v4,1.987e-12,626,results_afdb50.m8
Q8DVQ5,AF-A0A2A5S9I2-F1-model_v4,5.809e-13,626,results_afdb50.m8
Q8DVA8,AF-A0A0R1RVM4-F1-model_v4,2.309e-13,622,results_afdb50.m8
Q8DUE3,AF-T1ZE89-F1-model_v4,9.145e-13,621,results_afdb50.m8
Q8DTE2,AF-A0A829BSU0-F1-model_v4,1.607e-14,620,results_afdb50.m8
Q8DUY9,AF-A0A1V3Y3R2-F1-model_v4,1.371e-10,619,results_afdb50.m8
Q8DU43,AF-A0A0P6SFI8-F1-model_v4,1.385e-10,615,results_afdb50.m8
I6L8Y5,AF-A0A3D4S446-F1-model_v4,3.161e-13,612,results_afdb50.m8
Q8DVZ1,AF-A0A806LU06-F1-model_v4,6.488e-11,612,results_afdb50.m8
Q8DUW7,AF-A0A7Y0N7H7-F1-model_v4,1.823e-12,610,results_afdb50.m8
Q8DU18,AF-A0A5R9CG59-F1-model_v4,2.081e-13,610,results_afdb50.m8
Q8DRR7,AF-A0A2J9QBS1-F1-model_v4,1.666e-13,609,results_afdb50.m8
Q8DWH6,AF-M4YYR0-F1-model_v4,3.655e-14,607,results_afdb50.m8
Q8DW90,AF-A0A3A0SE78-F1-model_v4,2.438e-13,604,results_afdb50.m8
Q8DVV9,AF-A0A011RQL9-F1-model_v4,1.087e-13,604,results_afdb50.m8
Q8DW21,AF-A0A0U3RGT9-F1-model_v4,5.31e-13,599,results_afdb50.m8
Q8DUA1,AF-A0A368UIH2-F1-model_v4,6.666e-09,598,results_afdb50.m8
Q8DU66,AF-A0A5N9CCH6-F1-model_v4,4.67e-13,593,results_afdb50.m8
Q8DTL5,AF-A0A222PAW3-F1-model_v4,1.028e-12,592,results_afdb50.m8
Q8DSR5,AF-A0A7T7F604-F1-model_v4,7.807e-11,585,results_afdb50.m8
Q8DSS3,AF-A0A7X8DQB6-F1-model_v4,9.787e-14,576,results_afdb50.m8
Q8DU60,AF-F9UNH3-F1-model_v4,1.474e-13,574,results_afdb_swissprot.m8
Q8DVV8,AF-A0A2A5Y221-F1-model_v4,3.484e-13,574,results_afdb50.m8
Q8DTH5,AF-A0A4R4ED26-F1-model_v4,1.136e-12,561,results_afdb50.m8
Q8DUR8,AF-A0A7X8PYB6-F1-model_v4,3.146e-08,555,results_afdb50.m8
Q8DVR8,AF-A0A1G6BVP9-F1-model_v4,5.556e-12,551,results_afdb50.m8
Q8DV71,AF-A0A6G9Y8F6-F1-model_v4,2.254e-08,548,results_afdb50.m8
Q8DU46,AF-F8HDA3-F1-model_v4,8.07e-12,545,results_afdb50.m8
Q8DW89,AF-F9UNH3-F1-model_v4,6.716e-13,542,results_afdb_swissprot.m8
Q8DT80,AF-A0A1G6DFY5-F1-model_v4,1.86e-11,535,results_afdb50.m8
Q8DTL9,AF-Q8DTL9-F1-model_v4,5.358e-11,531,results_afdb50.m8
Q8DUK1,AF-R7IUE1-F1-model_v4,1.918e-11,528,results_afdb50.m8
Q8DUT9,AF-Q8DUT9-F1-model_v4,3.075e-10,524,results_afdb50.m8
Q8DT11,AF-A0A7R7ELM4-F1-model_v4,5.522e-11,523,results_afdb50.m8
Q8DTQ1,AF-Q8DQE6-F1-model_v4,8.392e-12,522,results_afdb_proteome.m8
Q8DU47,AF-A0A2T0GCY8-F1-model_v4,5.781e-12,519,results_afdb50.m8
I6L8Z7,AF-A0A1R0WXX3-F1-model_v4,1.149e-07,519,results_afdb50.m8
Q8DSI3,AF-A0A7G9T696-F1-model_v4,6.127e-12,517,results_afdb50.m8
Q8DSL7,AF-A0A373B6S9-F1-model_v4,1.465e-10,516,results_afdb50.m8
Q8DTU3,AF-A0A3R7VAP1-F1-model_v4,6.195e-12,516,results_afdb50.m8
Q8DWK9,AF-F5L020-F1-model_v4,4.105e-11,513,results_afdb50.m8
Q8DTG7,AF-A0A7T7F685-F1-model_v4,8.725e-11,513,results_afdb50.m8
Q8DVI7,AF-A0A239WNP4-F1-model_v4,7.81e-08,510,results_afdb50.m8
Q8DVX6,AF-G5JWD5-F1-model_v4,3.399e-10,509,results_afdb50.m8
Q8DVA7,AF-A0A7X6MX80-F1-model_v4,1.758e-09,506,results_afdb50.m8
Q8DTT5,AF-A0A422LMY8-F1-model_v4,1.931e-11,505,results_afdb50.m8
Q8DTF4,AF-A0A1F7V2H1-F1-model_v4,9.026e-11,505,results_afdb50.m8
Q8DTS0,AF-A0A660ECY2-F1-model_v4,1.657e-10,502,results_afdb50.m8
Q8DT15,AF-A0A380K9Q0-F1-model_v4,7.991e-11,496,results_afdb50.m8
Q8DVT6,AF-A0A7T7F4M5-F1-model_v4,6.696e-07,492,results_afdb50.m8
Q8DWD8,AF-U2RDF1-F1-model_v4,3.384e-10,489,results_afdb50.m8
Q8DST0,AF-D7E6K3-F1-model_v4,3.054e-09,485,results_afdb50.m8
Q8DUU8,AF-A0A1G5WYN0-F1-model_v4,1.568e-09,484,results_afdb50.m8
Q8DU01,AF-F9Q4W8-F1-model_v4,7.925e-11,482,results_afdb50.m8
Q8DVR1,AF-A0A239WQ24-F1-model_v4,1.833e-10,474,results_afdb50.m8
Q8DSI7,AF-A0A0E4CTK3-F1-model_v4,2.972e-07,468,results_afdb50.m8
Q8DUV0,AF-A0A359B3X5-F1-model_v4,8.756e-09,468,results_afdb50.m8
Q8DWB1,AF-A0A2D4QJV3-F1-model_v4,2.896e-09,466,results_afdb50.m8
Q8DTG8,AF-F9LV09-F1-model_v4,1.395e-09,459,results_afdb50.m8
I6L8Z9,AF-A0A6L8MVV1-F1-model_v4,7.273e-09,455,results_afdb50.m8
Q8DSK8,AF-A0A0F2NSP7-F1-model_v4,8.202e-08,454,results_afdb50.m8
Q8DVN6,AF-U2IKV7-F1-model_v4,1.914e-08,449,results_afdb50.m8
Q8DTN3,AF-A0A6N7VMK3-F1-model_v4,2.564e-07,449,results_afdb50.m8
Q8DW34,AF-A0A1V5IPT3-F1-model_v4,7.637e-07,448,results_afdb50.m8
Q8DV58,AF-A0A3B8EDF3-F1-model_v4,2.155e-07,445,results_afdb50.m8
Q8DSW4,AF-Q8DSW4-F1-model_v4,3.26e-08,444,results_afdb50.m8
Q8DTV3,AF-U5MY44-F1-model_v4,1.618e-08,443,results_afdb50.m8
Q8DVZ4,AF-E8JQM0-F1-model_v4,1.444e-09,440,results_afdb50.m8
Q8DTW2,AF-A0A2G6GMH9-F1-model_v4,9.043e-07,436,results_afdb50.m8
Q8DTX1,AF-J0LP02-F1-model_v4,1.054e-07,432,results_afdb50.m8
Q8DSS8,AF-A0A7W7HS33-F1-model_v4,7.129e-10,430,results_afdb50.m8
Q8DU42,AF-A0A1L7LJ17-F1-model_v4,5.253e-09,426,results_afdb50.m8
Q8DU69,AF-A0A7X3KCB0-F1-model_v4,7.327e-07,425,results_afdb50.m8
Q8DRS2,AF-A0A7X9LCP0-F1-model_v4,2.174e-09,423,results_afdb50.m8
Q8DSA4,AF-X5CKE0-F1-model_v4,2.906e-09,423,results_afdb50.m8
Q8DSW2,AF-A0A650MHS5-F1-model_v4,1.357e-06,422,results_afdb50.m8
Q8DRQ8,AF-A0A7X6N330-F1-model_v4,6.087e-06,421,results_afdb50.m8
Q8DS91,AF-Q8DS91-F1-model_v4,6.626e-08,420,results_afdb50.m8
Q8DV03,AF-G5JRI5-F1-model_v4,2.658e-07,419,results_afdb50.m8
Q8DTT1,AF-A0A068NGG7-F1-model_v4,5.409e-09,418,results_afdb50.m8
Q8DT83,AF-Q8DT83-F1-model_v4,1.265e-08,415,results_afdb50.m8
Q8DUU4,AF-Q54KW1-F1-model_v4,2.899e-08,407,results_afdb_proteome.m8
Q8DWI3,AF-A0A140DXG1-F1-model_v4,2.128e-09,406,results_afdb50.m8
Q8DV40,AF-R9MRZ0-F1-model_v4,1.893e-06,406,results_afdb50.m8
Q8DTB5,AF-A0A0M3F8T3-F1-model_v4,2.201e-07,398,results_afdb50.m8
Q8DSE0,AF-Q8DSE0-F1-model_v4,6.233e-07,398,results_afdb50.m8
Q8DW66,AF-A0A345VMZ3-F1-model_v4,1.038e-06,393,results_afdb50.m8
Q8DWI8,AF-A0A1R0X2X4-F1-model_v4,2.33e-07,391,results_afdb50.m8
Q8DT97,AF-A0A0R1M002-F1-model_v4,2.498e-07,391,results_afdb50.m8
Q8DU77,AF-A0A354HKQ7-F1-model_v4,6.49e-07,390,results_afdb50.m8
Q8DSZ7,AF-A0A1I6MYE0-F1-model_v4,1.945e-07,390,results_afdb50.m8
I6L909,AF-A0A355TWH4-F1-model_v4,3.21e-08,385,results_afdb50.m8
Q8DTS8,AF-A0A2X3VMM7-F1-model_v4,9.671e-07,381,results_afdb50.m8
Q8DS60,AF-Q8DS60-F1-model_v4,1.807e-05,380,results_afdb50.m8
Q8DSE2,AF-A0A5C5S8R2-F1-model_v4,4.668e-06,380,results_afdb50.m8
Q8DTB8,AF-A0A5B8T1W8-F1-model_v4,2.566e-07,379,results_afdb50.m8
Q8DTD7,AF-A0A380KAC2-F1-model_v4,1.115e-05,377,results_afdb50.m8
Q8DSQ8,AF-A0A0U1KPD5-F1-model_v4,1.932e-08,372,results_afdb50.m8
Q8DTS4,AF-A0A854ATK2-F1-model_v4,3.689e-07,370,results_afdb50.m8
Q8DVG0,AF-A0A202FB52-F1-model_v4,7.077e-05,365,results_afdb50.m8
Q8DVG9,AF-Q8DVG9-F1-model_v4,3.868e-07,363,results_afdb50.m8
Q8DSB9,AF-A0A1X0VBH9-F1-model_v4,2.062e-06,362,results_afdb50.m8
Q8DRX3,AF-A0A0R2DL82-F1-model_v4,6.573e-08,362,results_afdb50.m8
Q8DTF7,AF-A0A2X3VFC7-F1-model_v4,9.501e-05,358,results_afdb50.m8
Q8DTZ9,AF-A0A074IZ77-F1-model_v4,5.804e-06,356,results_afdb50.m8
I6L913,AF-A0A6G8AVS0-F1-model_v4,2.227e-07,353,results_afdb50.m8
Q8DSI2,AF-A0A1L7LHC7-F1-model_v4,3.623e-06,353,results_afdb50.m8
Q8DV11,AF-A0A139NMC7-F1-model_v4,1.093e-06,347,results_afdb50.m8
Q8DWI2,AF-B9CMX5-F1-model_v4,1.386e-05,346,results_afdb50.m8
Q8DVG2,AF-A0A851GX75-F1-model_v4,2.795e-07,345,results_afdb50.m8
Q8DV46,AF-A0A0E3WF59-F1-model_v4,8.285e-05,345,results_afdb50.m8
Q8DUZ2,AF-A0A1D8BWF0-F1-model_v4,1.016e-06,345,results_afdb50.m8
Q8DRT6,AF-A0A1M6KSR8-F1-model_v4,1.617e-07,341,results_afdb50.m8
Q8DU58,AF-A0A7T7JF58-F1-model_v4,1.425e-06,341,results_afdb50.m8
Q8DVH8,AF-G5JWQ9-F1-model_v4,3.331e-06,340,results_afdb50.m8
Q8DTF6,AF-A0A2X3VYB7-F1-model_v4,1.054e-05,339,results_afdb50.m8
Q8CMD5,AF-A0A0Z8IPX1-F1-model_v4,1.096e-05,336,results_afdb50.m8
Q8DTP1,AF-R5KJ98-F1-model_v4,0.0001638,334,results_afdb50.m8
Q8DTW4,AF-Q5F9W5-F1-model_v4,8.772e-07,331,results_afdb_proteome.m8
Q8DSQ1,AF-A0A1G3QFF9-F1-model_v4,0.0001597,331,results_afdb50.m8
Q8DSE8,AF-K1LR19-F1-model_v4,9.389e-07,328,results_afdb50.m8
Q8DVE7,AF-A0A414JWT0-F1-model_v4,6.871e-07,325,results_afdb50.m8
Q8DTX2,AF-F7V257-F1-model_v4,0.0006042,323,results_afdb50.m8
Q8DTS6,AF-A0A239STR6-F1-model_v4,1.591e-06,316,results_afdb50.m8
Q8DSY9,AF-A0A3N1RVC7-F1-model_v4,9.057e-05,316,results_afdb50.m8
Q8DV27,AF-A0A0A0DG95-F1-model_v4,4.364e-05,307,results_afdb50.m8
Q8DWN3,AF-Q2G0R5-F1-model_v4,9.045e-07,307,results_afdb_proteome.m8
Q8DUE8,AF-A0A0F7HIT0-F1-model_v4,3.338e-05,306,results_afdb50.m8
Q8DW48,AF-A0A7U6KD42-F1-model_v4,0.0003684,306,results_afdb50.m8
Q8DSS9,AF-A0A1I3HYP8-F1-model_v4,7.972e-05,305,results_afdb50.m8
Q8DTV4,AF-Q8DTV4-F1-model_v4,2.974e-05,303,results_afdb50.m8
Q8DTZ8,AF-A0A7X6S1V5-F1-model_v4,0.0004525,303,results_afdb50.m8
Q8DWJ9,AF-A0A139PFS8-F1-model_v4,6.29e-06,301,results_afdb50.m8
Q8DTM6,AF-A0A829IBZ7-F1-model_v4,2.753e-05,300,results_afdb50.m8
Q8DTX0,AF-A0A3N4GAY5-F1-model_v4,0.0007743,300,results_afdb50.m8
Q8DRU3,AF-A0A1Q5SU11-F1-model_v4,7.364e-06,298,results_afdb50.m8
Q8DVT3,AF-A0A532UYK0-F1-model_v4,1.539e-05,297,results_afdb50.m8
Q8DSI5,AF-A0A0K1EK20-F1-model_v4,3.088e-06,295,results_afdb50.m8
Q8DVI5,AF-A0A0M4JVA3-F1-model_v4,0.0004125,292,results_afdb50.m8
Q8DV32,AF-Q8DV32-F1-model_v4,3.121e-05,287,results_afdb50.m8
Q8DVN1,AF-A0A380JC69-F1-model_v4,7.064e-05,286,results_afdb50.m8
Q8DV31,AF-A0A3L9DYK3-F1-model_v4,3.481e-05,283,results_afdb50.m8
Q8DSK9,AF-A0A516NA37-F1-model_v4,1.607e-05,279,results_afdb50.m8
Q8DTL7,AF-A0A2G2MCS9-F1-model_v4,0.004223,278,results_afdb50.m8
Q8DUM1,AF-A0A4S1E5E1-F1-model_v4,4.956e-05,274,results_afdb50.m8
Q8DSR7,AF-A0A0R1MTK8-F1-model_v4,2.79e-05,273,results_afdb50.m8
Q8DUL3,AF-A0A352SXC3-F1-model_v4,0.001823,269,results_afdb50.m8
Q8DUX3,AF-A0A172Q6B0-F1-model_v4,7.342e-05,264,results_afdb50.m8
Q8DRR4,AF-A0A1T4Q3A3-F1-model_v4,4.638e-05,263,results_afdb50.m8
Q8DUV3,AF-A0A2J9QEZ7-F1-model_v4,0.005021,261,results_afdb50.m8
Q8DUU9,AF-A0A134C8E5-F1-model_v4,0.0006114,261,results_afdb50.m8
Q8DVQ1,AF-A0A7C1H0J1-F1-model_v4,0.0002556,250,results_afdb50.m8
Q8DVC8,AF-G5JVY6-F1-model_v4,0.0003836,240,results_afdb50.m8
Q8DSC5,AF-A0A1Q8RKF7-F1-model_v4,0.005563,235,results_afdb50.m8
Q8DW65,AF-A0A7X0WHK8-F1-model_v4,0.007116,229,results_afdb50.m8
Q8DSR6,AF-A0A4V2ZC69-F1-model_v4,0.007493,228,results_afdb50.m8
Q8DT89,AF-M4YX49-F1-model_v4,0.00236,227,results_afdb50.m8
Q8DWN7,AF-A0A1X0WW16-F1-model_v4,0.003523,226,results_afdb50.m8
Q8DRT0,AF-A0A845LVS7-F1-model_v4,0.001717,224,results_afdb50.m8
Q8DTW5,AF-A0A135YLF8-F1-model_v4,0.004982,210,results_afdb50.m8
Q8DUX2,AF-A0A223AQD4-F1-model_v4,0.003089,204,results_afdb50.m8
Q8DTW1,AF-A0A094GSE1-F1-model_v4,0.00989,200,results_afdb50.m8
Q8DVS4,AF-Q8DQ15-F1-model_v4,0.004306,192,results_afdb50.m8
Q8DV24,AF-A0A2X3Y1I8-F1-model_v4,0.008611,176,results_afdb50.m8
